State wise scores of individual parameters,Quality of Road Infrastructure,Quality of Rail Infrastructure,Quality of Multi-Modal Terminal Infrastructure,Quality of Unimodal Terminal Infrastructure,Quality ofWarehousing Infrastructure,Quality of Logistics Services,Capability of Logistics Service Providers,Reasonableness of Road Freight Rates,Reasonableness of Prices of Terminal Services,Timeliness of Cargo Delivery (Transportation) ,Timeliness of Cargo Delivery (Terminal Services),Availability of Mobile/ Internet Connectivity,Safety and Security during Transportation,Safety and Security at Terminals,Extent of Facilitation,Ease of Obtaining all Approvals ,Efficiency of Regulatory ,Range scaled Ease of Doing Business ranks,Trade Infrastructure for Export Scheme outlay,States logistics enabling initiatives ,Assessment of variables of logistics ease,Final Score
Gujarat,3.85,3.62,3.79,3.5,3.6,3.71,3.64,2.36,2.35,3.55,3.68,3.53,3.61,3.72,3.41,3.46,3.37,2,1,5,3.11,3.66
Haryana,3.68,3.67,3.78,3.45,3.74,3.69,3.8,2.65,2.61,3.7,3.71,3.59,3.62,3.74,3.32,3.19,3.38,3,1,1,3.44,3.52
Punjab,3.88,3.91,3.98,3.63,3.72,3.89,3.87,2.74,2.75,3.56,3.8,3.89,3.86,3.88,3.31,3.28,3.22,3,1,3,3.78,3.51
TamilNadu,3.68,3.3,3.49,3.18,3.52,3.67,3.72,2.54,2.62,3.57,3.5,3.69,3.75,3.74,3.13,3.19,3.19,2,5,2,3.44,3.36
Maharashtra,3.4,3.45,3.5,3.31,3.51,3.68,3.66,2.23,2.22,3.53,3.51,3.5,3.54,3.62,3.18,3.22,3.19,2,2,4,3.22,3.32
UttarPradesh,3.47,3.5,3.45,3.32,3.23,3.45,3.47,2.53,2.53,3.46,3.39,3.53,3.26,3.57,3.22,2.95,3.29,5,1,5,3.89,3.25
Odisha,3.28,2.97,3.28,2.91,2.81,3.52,3.49,2.07,2.35,3.18,3.67,3.62,3.04,3.51,3.17,3.03,2.95,1,1,2,3.67,3.2
Karnataka,3.51,3.33,3.41,3.14,3.5,3.52,3.52,2.42,2.49,3.56,3.49,3.42,3.7,3.74,3.07,3.07,3.07,3,2,5,3.33,3.18
AndhraPradesh,3.59,3.26,3.38,2.92,3.27,3.55,3.5,2.35,2.47,3.48,3.53,3.6,3.61,3.78,2.95,2.94,2.9,5,5,3,3.22,3.17
Telangana,3.48,3.14,3.47,2.94,3.21,3.52,3.56,2.31,2.41,3.67,3.66,3.72,3.82,3.92,2.94,2.95,2.95,5,1,5,3,3.14
Chhattisgarh,3.31,3.31,3.19,3.19,3.3,3.33,3.38,2.49,2.44,3.33,3.22,3.13,3.18,3.38,3.27,3.26,3.18,5,1,5,3,3.09
Jharkhand,2.88,3.13,2.88,2.95,3.05,3.22,3.34,2.58,2.59,3.01,3.05,2.82,2.66,2.93,3.15,3.15,3.17,5,3,2,3.11,3.09
Uttarakhand,3.03,2.96,3.13,3.07,3.15,3.29,3.24,2.22,2.61,3.12,3.06,3.27,3.52,3.64,2.76,3.03,2.98,2,1,5,2.33,3.06
Kerala,3,2.87,3.41,2.86,2.9,3.54,3.51,2.25,2.16,3.44,3.7,3.74,3.88,3.88,2.98,2.93,2.97,1,4,4,3.67,3.06
WestBengal,3.04,3.38,3.32,2.92,3.03,3.23,3.49,2.38,2.6,3.21,3.19,3.3,3.05,3.32,2.64,2.62,2.86,2,2,4,3.33,3.04
Rajasthan,3.19,3.02,2.87,2.66,2.9,3.19,3.44,2.7,2.57,3.24,3.15,3.49,3.21,3.51,2.2,2.48,2.75,2,1,3,3.44,2.96
